time/total_timesteps,time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/approx_kl,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
2048,20,1,1.0,4.10286291,98,,,,,,,,,,,,,
4096,19,2,1.0,4.082830870000001,205,0.2,-0.028830063581699504,1.315447622264037,-0.03183664754033089,0.225732421875,0.9955351948738098,10,-0.028434395790100098,0.0003,0.023665322,-35.401015758514404,,
6144,20,3,1.0,4.1237477600000005,305,0.2,-0.04868735092168208,0.01965170310868416,-0.06319552659988403,0.328173828125,0.9881263375282288,20,0.4618157148361206,0.0003,0.03188706,-35.24396805763244,,
8192,20,4,1.0,4.102713690000001,405,0.2,-0.05499219850171357,0.01608438116090838,-0.08377101272344589,0.387890625,0.9828782677650452,30,0.7636522650718689,0.0003,0.03974261,-35.079888713359836,,
10000,,,,,,0.2,-0.0572276708757272,0.015384085752884857,-0.07430033385753632,0.4255859375,0.9774995446205139,40,0.7637717127799988,0.0003,0.045839798,-34.96010112762451,2.8,11.536424
10240,20,5,1.0,4.119058549999999,505,,,,,,,,,,,,,
12288,20,6,1.0,4.12342676,607,0.2,-0.05959295593056595,0.015040011532255449,-0.0912870243191719,0.4833984375,0.9704432487487793,50,0.7704865336418152,0.0003,0.059638068,-34.78649151325226,,
14336,20,7,1.0,4.13094766,708,0.2,-0.061109472281532365,0.014061664146720432,-0.08800116181373596,0.475048828125,0.96528160572052,60,0.7865318655967712,0.0003,0.05894103,-34.63312013149262,,
16384,20,8,1.0,4.1194461,808,0.2,-0.06039614166948013,0.014165475590561982,-0.06806338578462601,0.487158203125,0.9598713517189026,70,0.7910714149475098,0.0003,0.06869366,-34.497171914577486,,
18432,20,9,1.0,4.1274345,908,0.2,-0.05970192109234631,0.015077037127048243,-0.09785058349370956,0.53759765625,0.9552258253097534,80,0.7963644862174988,0.0003,0.080730215,-34.35941821336746,,
20000,,,,,,0.2,-0.05489675606950186,0.01429383309732657,-0.03191202133893967,0.529736328125,0.9500452280044556,90,0.792512834072113,0.0003,0.08675946,-34.224146938323976,1.0,4.1452574
20480,20,10,1.0,4.145861019999999,1009,,,,,,,,,,,,,
22528,20,11,1.0,4.146313320000001,1115,0.2,-0.05384495277248789,0.014126735522586387,-0.0881514921784401,0.5771484375,0.9473365545272827,100,0.7852308750152588,0.0003,0.11499117,-34.126858377456664,,
24576,20,12,1.0,4.16194548,1216,0.2,-0.06042618182837032,0.015843285431037656,-0.09324736148118973,0.59912109375,0.9428792595863342,110,0.7689877152442932,0.0003,0.12719132,-34.02317265272141,,
26624,20,13,1.0,4.13865892,1316,0.2,-0.050581375838373785,0.014965498168021441,-0.06178782135248184,0.623828125,0.938686192035675,120,0.7875768542289734,0.0003,0.16109142,-33.918252122402194,,
28672,20,14,1.0,4.20360951,1422,0.2,-0.05223528772767168,0.014558884817233775,-0.0640183612704277,0.615576171875,0.9343776702880859,130,0.8039112687110901,0.0003,0.16295014,-33.7920468211174,,
30000,,,,,,0.2,-0.04473674225446302,0.015848312474554406,-0.08439235389232635,0.660009765625,0.9315338730812073,140,0.796567976474762,0.0003,0.19734195,-33.69834713935852,1.0,4.2989894
30720,20,15,1.0,4.1809938099999995,1523,,,,,,,,,,,,,
32768,20,16,1.0,4.2495579999999995,1628,0.2,-0.04198822424514219,0.016408165587927216,-0.08367632329463959,0.689990234375,0.9296385645866394,150,0.7832765579223633,0.0003,0.2664929,-33.628329360485075,,
34816,20,17,1.0,4.20752138,1728,0.2,-0.029267441655974835,0.018123756162822247,-0.08704818040132523,0.693359375,0.9275257587432861,160,0.7618366479873657,0.0003,0.2640851,-33.5732439160347,,
36864,20,18,1.0,4.3126396399999996,1828,0.2,0.0029239883151603863,0.018169823338394054,0.04165416210889816,0.73994140625,0.9230548143386841,170,0.7264790534973145,0.0003,0.3260454,-33.49060014486313,,
38912,20,19,1.0,4.296434819999999,1927,0.2,-0.003890487283933908,0.019019955964176917,-0.07529832422733307,0.738232421875,0.9199147820472717,180,0.732553243637085,0.0003,0.412946,-33.37996168136597,,
40000,,,,,,0.2,-0.02022572277637664,0.01922913345042616,-0.08515363186597824,0.73203125,0.9148032069206238,190,0.7418126463890076,0.0003,0.34501466,-33.26343758106232,1.0,4.5162911999999995
40960,20,20,1.0,4.212471529999999,2034,,,,,,,,,,,,,
43008,20,21,1.0,4.293324900000001,2135,0.2,-0.006565529096405953,0.02026069632556755,-0.05251209810376167,0.731884765625,0.9108827114105225,200,0.7445045709609985,0.0003,0.34080464,-33.146488177776334,,
45056,20,22,1.0,4.325971770000001,2241,0.2,0.04084992340649478,0.01954190540127456,0.055191606283187866,0.779248046875,0.9079762101173401,210,0.7370169758796692,0.0003,0.558432,-33.03618528842926,,
47104,20,23,1.0,4.3509113,2342,0.2,0.048653977375943215,0.02187392614723649,0.029144739732146263,0.790283203125,0.9052498936653137,220,0.7312089204788208,0.0003,0.5897859,-32.96437834501266,,
49152,20,24,1.0,4.30214732,2442,0.2,0.025389282117248512,0.026235487617668696,-0.03669989854097366,0.7982421875,0.9021492004394531,230,0.665475606918335,0.0003,0.66186225,-32.8709880232811,,
50000,,,,,,0.2,0.05577103007817641,0.023446160129969938,0.09503598511219025,0.8255859375,0.9011740684509277,240,0.6679160594940186,0.0003,0.9180639,-32.816574370861055,1.0,4.2480426
51200,20,25,1.0,4.35373337,2549,,,,,,,,,,,,,
