time/total_timesteps,time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/approx_kl,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
53248,20,26,1.0,4.3359557,2650,0.2,0.07688787128718104,0.027511487746960484,0.08588546514511108,0.84091796875,0.8981470465660095,250,0.7017799615859985,0.0003,0.7244433,-32.76519597768784,,
55296,20,27,1.0,4.3395721,2752,0.2,0.09418831424263771,0.022575012868037446,0.03393860161304474,0.833447265625,0.8943274617195129,260,0.6979573965072632,0.0003,0.92797816,-32.65102163553238,,
57344,20,28,1.0,4.339477860000001,2853,0.2,0.14277831562212667,0.02597372265008744,0.025636259466409683,0.85205078125,0.8933203220367432,270,0.6658735275268555,0.0003,1.2793632,-32.586746501922605,,
59392,20,29,1.0,4.37543074,2954,0.2,0.07533708265109454,0.025638814488775096,-0.009051507338881493,0.8271484375,0.8891550898551941,280,0.6592724323272705,0.0003,0.9961929,-32.51359963417053,,
60000,,,,,,0.2,0.09186560541274957,0.024997875848202965,0.051005374640226364,0.826806640625,0.886886477470398,290,0.7019895315170288,0.0003,0.86845315,-32.41473530530929,1.0,4.4890428
61440,20,30,1.0,4.3708043000000005,3061,,,,,,,,,,,,,
63488,20,31,1.0,4.39492288,3162,0.2,0.051666810421738776,0.025485270793433303,0.06373973935842514,0.833251953125,0.8842759728431702,300,0.6272106170654297,0.0003,0.95430917,-32.34416551589966,,
65536,20,32,1.0,4.34078531,3262,0.2,0.058171613042941314,0.026943405336351135,0.012136019766330719,0.838916015625,0.8804033398628235,310,0.6285849809646606,0.0003,0.95017934,-32.24893060922623,,
67584,20,33,1.0,4.37955149,3363,0.2,0.18867488912073896,0.03123733031679876,-0.003602144308388233,0.8798828125,0.8789036870002747,320,0.6586511135101318,0.0003,1.3165002,-32.1876865029335,,
69632,20,34,1.0,4.39051098,3469,0.2,0.15312910294451285,0.02798448908724822,0.10689809173345566,0.8716796875,0.879984438419342,330,0.6392256021499634,0.0003,1.3013442,-32.167979538440704,,
70000,,,,,,0.2,0.10603023478470278,0.028823942021699623,-0.025456488132476807,0.83544921875,0.8768563866615295,340,0.6006839275360107,0.0003,1.3641648,-32.12764531373978,1.0,4.2195796
71680,20,35,1.0,4.40158992,3571,,,,,,,,,,,,,
73728,20,36,1.0,4.35165151,3671,0.2,0.3066590226138942,0.030644858366576953,0.1662864238023758,0.882275390625,0.8752627968788147,350,0.6276617050170898,0.0003,1.9011221,-32.05433057546615,,
75776,20,37,1.0,4.386197510000001,3777,0.2,0.2804388516698964,0.03582102262298577,0.13264930248260498,0.901025390625,0.874264121055603,360,0.5540185570716858,0.0003,2.5615935,-32.033677625656125,,
77824,20,38,1.0,4.35126798,3877,0.2,0.1768784685060382,0.03241066128248349,0.21198102831840515,0.881884765625,0.8723543882369995,370,0.4821521043777466,0.0003,2.093998,-31.980764257907868,,
79872,20,39,1.0,4.3615036400000005,3978,0.2,0.1022606839571381,0.028539671262842604,0.02380966953933239,0.858056640625,0.8704595565795898,380,0.6643712520599365,0.0003,1.4914713,-31.924805891513824,,
80000,,,,,,0.2,0.15267387115745806,0.030053331461385824,0.16062262654304504,0.871044921875,0.8668292760848999,390,0.6498886942863464,0.0003,1.3446143,-31.827901047468185,1.0,4.3420814
81920,20,40,1.0,4.40913491,4080,,,,,,,,,,,,,
83968,20,41,1.0,4.452295780000001,4188,0.2,0.09698699876025785,0.027270043568569234,0.08734004944562912,0.837060546875,0.8654113411903381,400,0.6438331604003906,0.0003,1.1560931,-31.755821764469147,,
86016,20,42,1.0,4.39702656,4295,0.2,0.14169655924779362,0.02734920346410945,0.14876672625541687,0.8693359375,0.8617346882820129,410,0.6399545669555664,0.0003,1.5600861,-31.69125924706459,,
88064,20,43,1.0,4.36210774,4396,0.2,0.17702621385105885,0.027097556600347163,0.14084535837173462,0.85888671875,0.8584485650062561,420,0.6110216379165649,0.0003,1.6851763,-31.589269715547562,,
90000,,,,,,0.2,0.1647894514579093,0.028892769006779416,0.13401688635349274,0.880908203125,0.8574958443641663,430,0.6283837556838989,0.0003,1.6126007,-31.51458335518837,1.0,4.6265912
90112,20,44,1.0,4.43481044,4498,,,,,,,,,,,,,
92160,20,45,1.0,4.44659028,4599,0.2,0.16029799086390994,0.03153952181455679,0.26303768157958984,0.871240234375,0.856377363204956,440,0.5735868215560913,0.0003,1.7877657,-31.47041729092598,,
94208,20,46,1.0,4.38256265,4700,0.2,0.24189352405373937,0.035709916683845225,0.06484948098659515,0.92548828125,0.8577763438224792,450,0.576021134853363,0.0003,2.5541916,-31.48182739019394,,
96256,20,47,1.0,4.39084311,4809,0.2,0.17975251496536657,0.03146861596032977,0.23859500885009766,0.886376953125,0.8596339225769043,460,0.5510715246200562,0.0003,2.2676535,-31.53015133142471,,
98304,20,48,1.0,4.41343251,4908,0.2,0.1653064621030353,0.03499103174544871,0.06054719164967537,0.879443359375,0.8577882051467896,470,0.5954216718673706,0.0003,1.7491353,-31.52923713326454,,
100000,,,,,,0.2,0.16096730459830724,0.031295113265514374,0.17704185843467712,0.88759765625,0.8568544387817383,480,0.5545321702957153,0.0003,1.6955364,-31.49447780251503,1.0,4.578087399999999
100352,20,49,1.0,4.43054776,5010,,,,,,,,,,,,,
102400,20,50,1.0,4.4063396699999995,5116,0.2,0.16134601932135412,0.029007434041704982,0.04695681482553482,0.888037109375,0.8589082360267639,490,0.6107149720191956,0.0003,1.7591436,-31.506191325187682,,
104448,20,51,1.0,4.4079219,5217,0.2,0.12947450267674868,0.03031654846854508,0.12241020798683167,0.86865234375,0.8580653071403503,500,0.5918312072753906,0.0003,1.4812589,-31.520167529582977,,
106496,20,52,1.0,4.41938587,5316,0.2,0.21595278898021206,0.03232745943532791,0.11817789077758789,0.906689453125,0.8563836216926575,510,0.5965827703475952,0.0003,2.978836,-31.470302838087083,,
108544,20,53,1.0,4.3992096400000005,5416,0.2,0.20782669063773937,0.0346175639599096,0.11178383231163025,0.893896484375,0.8565531969070435,520,0.5955973863601685,0.0003,2.0524461,-31.442152762413023,,
110000,,,,,,0.2,0.18460525405243972,0.03531826083199121,0.34823405742645264,0.906005859375,0.8555478453636169,530,0.5026780366897583,0.0003,2.5007682,-31.429806584119795,1.0,4.600656
110592,20,54,1.0,4.418979660000001,5516,,,,,,,,,,,,,
112640,20,55,1.0,4.437557559999999,5615,0.2,0.16696816709009,0.031236303324112667,0.10925738513469696,0.890380859375,0.8561956882476807,540,0.597551167011261,0.0003,2.0953827,-31.42606143951416,,
114688,20,56,1.0,4.40732151,5720,0.2,0.1781892249651719,0.034031206800136715,0.07482589036226273,0.896630859375,0.8565621972084045,550,0.5993797779083252,0.0003,1.830502,-31.45396931171417,,
116736,20,57,1.0,4.41176089,5820,0.2,0.12322858046682086,0.030777420272352175,0.303540974855423,0.86884765625,0.8546560406684875,560,0.5982404351234436,0.0003,1.3559663,-31.41987633705139,,
118784,20,58,1.0,4.3973002,5924,0.2,0.18006220728566405,0.03246020173537545,0.1399594396352768,0.8966796875,0.8522830605506897,570,0.5353482961654663,0.0003,1.6310507,-31.34971663951874,,
120000,,,,,,0.2,0.1532384284713771,0.031494568148627874,0.2317867875099182,0.860205078125,0.851610004901886,580,0.615575909614563,0.0003,1.8286269,-31.310388976335524,1.0,4.4593036
120832,20,59,1.0,4.39099056,6024,,,,,,,,,,,,,
122880,20,60,1.0,4.45390707,6123,0.2,0.10245232408051379,0.02899078571354039,0.05723521113395691,0.843798828125,0.8469793796539307,590,0.5779881477355957,0.0003,1.2964417,-31.221506291627882,,
124928,20,61,1.0,4.39641526,6222,0.2,0.16463227595668287,0.03549293004907668,0.11193887144327164,0.893896484375,0.8452537059783936,600,0.5733345746994019,0.0003,2.2595146,-31.122786247730254,,
126976,20,62,1.0,4.45044573,6321,0.2,0.15607514157309196,0.03065324944909662,0.13719366490840912,0.89111328125,0.8423207402229309,610,0.5827188491821289,0.0003,1.9161174,-31.059069907665254,,
129024,20,63,1.0,4.4375881999999995,6419,0.2,0.18111177784157917,0.028622404029010794,0.05507040023803711,0.88466796875,0.8406474590301514,620,0.6270005702972412,0.0003,2.053361,-30.972300285100935,,
130000,,,,,,0.2,0.22376175908430013,0.03004643137974199,0.4688680171966553,0.893701171875,0.8403124809265137,630,0.6367551684379578,0.0003,2.0351024,-30.931517469882966,1.0,4.337210799999999
131072,20,64,1.0,4.43394319,6518,,,,,,,,,,,,,
133120,20,65,1.0,4.4196136,6618,0.2,0.1763837674225215,0.028293346185819246,0.10285866260528564,0.892626953125,0.8419067859649658,640,0.6113345623016357,0.0003,2.044476,-30.969908368587493,,
135168,20,66,1.0,4.434797390000001,6716,0.2,0.201493235109956,0.031590122543275354,0.1845116913318634,0.898681640625,0.8423068523406982,650,0.5056811571121216,0.0003,2.7269154,-30.996406883001328,,
137216,20,67,1.0,4.44491115,6814,0.2,0.09174689267820213,0.02984231316950172,0.09619034081697464,0.850341796875,0.8414998650550842,660,0.549163818359375,0.0003,7.9254556,-30.975484108924867,,
139264,20,68,1.0,4.41581566,6918,0.2,0.13059573982609435,0.030603040574351325,0.10523087531328201,0.866748046875,0.8422581553459167,670,0.618182897567749,0.0003,1.4511395,-30.97844071984291,,
140000,,,,,,0.2,0.16419898782041856,0.03480969962547533,0.11489486694335938,0.89287109375,0.8398516774177551,680,0.5811679363250732,0.0003,1.9046079,-30.944976937770843,1.0,4.6795896
141312,20,69,1.0,4.421719230000001,7023,,,,,,,,,,,,,
143360,20,70,1.0,4.42398177,7128,0.2,0.15446736928424798,0.03783598689478822,0.06992840766906738,0.884765625,0.8397678136825562,690,0.49075406789779663,0.0003,2.6974227,-30.91428326368332,,
145408,20,71,1.0,4.44809483,7226,0.2,0.14842932495521383,0.03129941462539136,0.01244399230927229,0.873681640625,0.8394651412963867,700,0.562741756439209,0.0003,1.540921,-30.90228926539421,,
147456,20,72,1.0,4.3838785300000005,7325,0.2,0.14538526266114787,0.030444141826592386,0.053466394543647766,0.865771484375,0.8383210301399231,710,0.4945262670516968,0.0003,1.903326,-30.876512974500656,,
149504,20,73,1.0,4.48779929,7429,0.2,0.13022423633083235,0.02986914894427173,0.05548577755689621,0.872412109375,0.83442223072052,720,0.5770545601844788,0.0003,1.5534246,-30.803258788585662,,
150000,,,,,,0.2,0.1660009984683711,0.029643972823396324,0.1303633749485016,0.872216796875,0.8321197032928467,730,0.5768190026283264,0.0003,2.2528627,-30.69232600927353,1.0,4.5412004
151552,20,74,1.0,4.45566743,7527,,,,,,,,,,,,,
153600,20,75,1.0,4.45030896,7626,0.2,0.136169559933478,0.03155748907593079,-0.007137579843401909,0.86005859375,0.8305276036262512,740,0.4644694924354553,0.0003,1.4923117,-30.628387081623078,,
155648,20,76,1.0,4.45276557,7724,0.2,0.15224111123534384,0.032635020674206316,0.21122199296951294,0.869189453125,0.8282051086425781,750,0.5651165246963501,0.0003,1.462697,-30.569197249412536,,
157696,20,77,1.0,4.394458490000001,7822,0.2,0.15882539895828812,0.034849238366587085,0.20987451076507568,0.883203125,0.8277201652526855,760,0.5670286417007446,0.0003,2.3576694,-30.513060402870178,,
159744,20,78,1.0,4.45530745,7921,0.2,0.12623719492694363,0.033549822360510004,0.10179360210895538,0.88271484375,0.8257342576980591,770,0.5470592975616455,0.0003,2.5488234,-30.4959937274456,,
160000,,,,,,0.2,0.1743106677546166,0.03168545785592869,0.19984157383441925,0.897265625,0.824390709400177,780,0.5857924222946167,0.0003,2.600028,-30.416945177316666,1.0,4.3143144
161792,20,79,1.0,4.47184991,8021,,,,,,,,,,,,,
163840,20,80,1.0,4.395653769999999,8119,0.2,0.1537863964564167,0.030790737381903455,0.11235358566045761,0.8912109375,0.8256909847259521,790,0.5697849988937378,0.0003,2.1117668,-30.43047093153,,
165888,20,81,1.0,4.471398679999999,8218,0.2,0.16078988887165907,0.03024923835764639,0.11805324256420135,0.8783203125,0.8234422206878662,800,0.5164647102355957,0.0003,1.667634,-30.406399792432786,,
167936,20,82,1.0,4.41032726,8316,0.2,0.15434829110163265,0.03466999420779757,0.05345112457871437,0.858203125,0.8242022395133972,810,0.5880382061004639,0.0003,1.9181526,-30.385079389810564,,
169984,20,83,1.0,4.39219987,8420,0.2,0.13150926487869583,0.03001339785696473,0.06876105070114136,0.872412109375,0.8231177926063538,820,0.6112973093986511,0.0003,2.1816802,-30.380836766958236,,
170000,,,,,,0.2,0.116846060246462,0.028565935790538788,0.10359873622655869,0.85546875,0.8230476379394531,830,0.6201866865158081,0.0003,1.7737018,-30.367425858974457,1.0,4.5752772
172032,20,84,1.0,4.46072668,8525,,,,,,,,,,,,,
174080,20,85,1.0,4.440661219999999,8624,0.2,0.15994535984646063,0.028869261010549964,-0.007650336250662804,0.8796875,0.8227247595787048,840,0.6049849987030029,0.0003,1.9414759,-30.353531765937806,,
176128,20,86,1.0,4.416894459999999,8723,0.2,0.12387755835661665,0.03005970447557047,0.0963500440120697,0.861083984375,0.8227550983428955,850,0.6347211599349976,0.0003,1.6597446,-30.330915105342864,,
178176,20,87,1.0,4.48618452,8821,0.2,0.18359927866840736,0.029409631321323106,0.07260207086801529,0.879296875,0.8211947679519653,860,0.5500571131706238,0.0003,2.020592,-30.321863973140715,,
180000,,,,,,0.2,0.16988597837626002,0.028798330394783987,0.106621652841568,0.870703125,0.8198893666267395,870,0.578220784664154,0.0003,1.8346994,-30.277855718135832,1.0,4.365889
180224,20,88,1.0,4.47070284,8921,,,,,,,,,,,,,
182272,20,89,1.0,4.455243760000001,9019,0.2,0.1443412084132433,0.02767741534335073,0.0802152156829834,0.86015625,0.8185567855834961,880,0.5789300203323364,0.0003,1.440802,-30.230926460027696,,
184320,20,90,1.0,4.44788305,9123,0.2,0.18612616951577365,0.03213496837415732,0.17929472029209137,0.873388671875,0.8150818347930908,890,0.6052980422973633,0.0003,1.7948389,-30.1469757437706,,
186368,20,91,1.0,4.43753919,9227,0.2,0.13118825482670218,0.03247128283255733,0.19686773419380188,0.86611328125,0.8130537867546082,900,0.5929093360900879,0.0003,2.0548067,-30.056637436151505,,
188416,20,92,1.0,4.47469866,9326,0.2,0.15660372001002543,0.03434697842458263,0.19832004606723785,0.886181640625,0.8132436871528625,910,0.5979170799255371,0.0003,2.6576338,-30.033896571397783,,
190000,,,,,,0.2,0.16170390639454127,0.03127374401083216,0.008664743974804878,0.89033203125,0.8113484978675842,920,0.5923484563827515,0.0003,1.9997661,-30.01840059161186,1.0,4.4794754
190464,20,93,1.0,4.39964803,9425,,,,,,,,,,,,,
192512,20,94,1.0,4.448231870000001,9523,0.2,0.20509986908291467,0.029469225194770843,0.21599659323692322,0.90302734375,0.8121328353881836,930,0.5944166779518127,0.0003,3.469047,-29.99193714261055,,
194560,20,95,1.0,4.44754219,9621,0.2,0.1686389558191877,0.034051119483774525,0.11191797256469727,0.892138671875,0.8119008541107178,940,0.5630648732185364,0.0003,2.2542226,-30.00352872014046,,
196608,20,96,1.0,4.453727,9721,0.2,0.15998641119513196,0.034516633045859633,0.060972701758146286,0.87685546875,0.8123722672462463,950,0.5785142779350281,0.0003,2.1056867,-30.00463961958885,,
198656,20,97,1.0,4.469411750000001,9818,0.2,0.142305237572873,0.031787519645877185,0.08911966532468796,0.872900390625,0.8110946416854858,960,0.5743985176086426,0.0003,1.3148617,-29.998954647779463,,
200000,,,,,,0.2,0.18311615973361767,0.031194058613618837,0.03499757871031761,0.902490234375,0.8121955394744873,970,0.5888034105300903,0.0003,2.0845985,-29.984355157613756,1.0,4.442739400000001
200704,20,98,1.0,4.4612077800000005,9917,,,,,,,,,,,,,
