time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/std,train/value_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/entropy_loss,train/n_updates,train/explained_variance,train/loss,train/policy_gradient_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
17,1.0,2048,117,6.072879010000001,1,,,,,,,,,,,,,
17,1.0,4096,237,6.01969785,2,0.9932042360305786,3.4728297502093484,0.30634765625,0.2,0.0003,-7.074471834301948,10,-0.037189364433288574,-0.04160201922059059,-0.03173554467866779,0.02752729,,
17,1.0,6144,356,6.07308188,3,0.9738808870315552,0.04630124463001266,0.52314453125,0.2,0.0003,-7.003109553456307,20,0.549330472946167,-0.09929046034812927,-0.09414554285467602,0.07811897,,
17,1.0,8192,476,6.186304119999999,4,0.9493981599807739,0.041137919516768304,0.672314453125,0.2,0.0003,-6.88562676012516,30,0.733913779258728,-0.1112491562962532,-0.1300054102553986,0.15677054,,
,,10000,,,,0.9221488237380981,0.037103769468376416,0.66591796875,0.2,0.0003,-6.737642125785351,40,0.756807804107666,-0.11120053380727768,-0.12407124209566973,0.16572556,2.8,20.487413999999998
17,1.0,10240,596,6.302431210000001,5,,,,,,,,,,,,,
17,1.0,12288,715,6.415085019999999,6,0.8974374532699585,0.04051927033578977,0.71015625,0.2,0.0003,-6.5911824852228165,50,0.771661639213562,-0.14245007932186127,-0.12878111804020592,0.19179606,,
17,1.0,14336,835,6.4354324400000005,7,0.873672366142273,0.03884948014165275,0.704541015625,0.2,0.0003,-6.445563352108001,60,0.7816002368927002,-0.12129706144332886,-0.12496145907789469,0.19611934,,
17,1.0,16384,954,6.5240673000000005,8,0.852912425994873,0.03828600523411296,0.701025390625,0.2,0.0003,-6.306977957487106,70,0.7894921898841858,-0.11012764275074005,-0.11985439162235707,0.23736599,,
17,1.0,18432,1074,6.660987320000001,9,0.8310539126396179,0.04015303017222323,0.722705078125,0.2,0.0003,-6.16723331362009,80,0.7828437089920044,-0.09949703514575958,-0.11591284041060135,0.21654987,,
,,20000,,,,0.8105224370956421,0.037774661049479616,0.7234375,0.2,0.0003,-6.018914079666137,90,0.7868444919586182,-0.10822218656539917,-0.11267808284028433,0.24910721,1.0,7.2588314
17,1.0,20480,1193,6.68080511,10,,,,,,,,,,,,,
17,1.0,22528,1313,6.837200800000001,11,0.7890529036521912,0.0377240996574983,0.7240234375,0.2,0.0003,-5.8703998863697056,100,0.7695591449737549,-0.1053076684474945,-0.10706584096187725,0.22690508,,
17,1.0,24576,1433,6.99196903,12,0.7707685232162476,0.037508205184713005,0.716259765625,0.2,0.0003,-5.718175420165062,110,0.7745961546897888,-0.059251077473163605,-0.10431051086634398,0.28295308,,
17,1.0,26624,1553,7.00388934,13,0.7526395916938782,0.03909123916528188,0.733740234375,0.2,0.0003,-5.575366407632828,120,0.7508637309074402,-0.06285655498504639,-0.09318565104622394,0.2601366,,
17,1.0,28672,1673,7.17409015,14,0.7336007356643677,0.035927462548716,0.712158203125,0.2,0.0003,-5.422993224859238,130,0.757986307144165,-0.10759591311216354,-0.08942615881242091,0.2509937,,
