time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/approx_kl,train/clip_fraction,train/value_loss,train/n_updates,train/loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/std,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
116736,4.4757780700000005,1.0,17,6864,57,0.0003,2.1099582,0.89716796875,0.02894861390814185,560,0.09921591728925705,0.31666791439056396,0.1308087126133614,0.2,0.611677885055542,-22.160886669158934,,
118784,4.50081631,1.0,17,6985,58,0.0003,2.5900378,0.913037109375,0.025417136467876845,570,0.10644029080867767,0.3499411344528198,0.177281478754594,0.2,0.6084290146827698,-21.986512148380278,,
120000,,,,,,0.0003,2.484109,0.90693359375,0.02739669113070704,580,0.15703129768371582,0.3747367262840271,0.1436729932145681,0.2,0.604045033454895,-21.782779133319856,4.7661138,1.0
120832,4.5054544,1.0,17,7104,59,,,,,,,,,,,,,
122880,4.52333282,1.0,17,7223,60,0.0003,2.332585,0.91015625,0.027588969602948054,590,-0.004613781347870827,0.3869553208351135,0.15361038693226875,0.2,0.6013290286064148,-21.63370688557625,,
124928,4.5401947300000005,1.0,17,7342,61,0.0003,2.6937485,0.917626953125,0.026095712248934432,600,0.3016624450683594,0.3687761425971985,0.20240010099951178,0.2,0.5989788174629211,-21.488304460048674,,
126976,4.51067765,1.0,17,7460,62,0.0003,2.4618473,0.908740234375,0.02613883345911745,610,0.07679107040166855,0.3863380551338196,0.14809260264446494,0.2,0.5966947078704834,-21.382304763793947,,
129024,4.498859620000001,1.0,17,7579,63,0.0003,2.1359015,0.909423828125,0.027941814030054957,620,0.06991466879844666,0.33974045515060425,0.20321021123963873,0.2,0.5952036380767822,-21.29256778359413,,
130000,,,,,,0.0003,2.324088,0.911669921875,0.026167425225139596,630,0.07958146184682846,0.3751768469810486,0.2517293483688263,0.2,0.5926816463470459,-21.19906803369522,4.518261,1.0
131072,4.48752552,1.0,17,7698,64,,,,,,,,,,,,,
133120,4.452430990000001,1.0,17,7816,65,0.0003,2.5191798,0.904443359375,0.02718702700221911,640,0.055721383541822433,0.3369518518447876,0.1584098673571134,0.2,0.5908450484275818,-21.09290724992752,,
135168,4.48144609,1.0,17,7936,66,0.0003,2.2238672,0.89697265625,0.027399481247994118,650,0.0984463170170784,0.3896939158439636,0.12010961444902932,0.2,0.5882124304771423,-20.988928306102753,,
137216,4.482182239999999,1.0,17,8055,67,0.0003,3.2042608,0.91474609375,0.024533363396767528,660,0.17164596915245056,0.3906192183494568,0.1838304538396187,0.2,0.5849334597587585,-20.85228713154793,,
139264,4.50383607,1.0,17,8173,68,0.0003,2.254592,0.9041015625,0.025384736849809998,670,0.12491065263748169,0.423048198223114,0.15943131515523418,0.2,0.5833832025527954,-20.741761475801468,,
140000,,,,,,0.0003,11.925111,0.89384765625,0.027447631585528143,680,0.14030922949314117,0.38772785663604736,0.11710712508647703,0.2,0.5799870491027832,-20.61977749466896,4.6444094,1.0
141312,4.53421588,1.0,17,8293,69,,,,,,,,,,,,,
143360,4.51545172,1.0,17,8412,70,0.0003,2.6900873,0.911279296875,0.02586831558146514,690,0.19815847277641296,0.41379982233047485,0.16337625253363514,0.2,0.5777449607849121,-20.462061035633088,,
145408,4.510900500000001,1.0,17,8532,71,0.0003,2.6445825,0.91875,0.02765820685890503,700,0.11767540872097015,0.4049370288848877,0.1767725786048686,0.2,0.5756076574325562,-20.3703284740448,,
147456,4.466545499999999,1.0,17,8651,72,0.0003,1.7707777,0.8900390625,0.026583197398576886,710,0.04195205122232437,0.4359697699546814,0.1033176325581735,0.2,0.5731186866760254,-20.264233297109605,,
149504,4.51839197,1.0,17,8770,73,0.0003,2.940284,0.921728515625,0.028096357447793707,720,0.10488244891166687,0.38237881660461426,0.18388452981598674,0.2,0.5693289041519165,-20.105513763427734,,
150000,,,,,,0.0003,3.2831578,0.917724609375,0.02762930648168549,730,0.1046772375702858,0.39748334884643555,0.1538791232072981,0.2,0.5677657723426819,-19.982471811771394,4.6189096,1.0
151552,4.53478488,1.0,17,8890,74,,,,,,,,,,,,,
153600,4.55510133,1.0,17,9009,75,0.0003,3.0094914,0.912890625,0.02552070064120926,740,0.2597869038581848,0.41859859228134155,0.16089173459622544,0.2,0.5658325552940369,-19.887747865915298,,
155648,4.51781471,1.0,17,9128,76,0.0003,2.343243,0.910302734375,0.025516234646784142,750,0.2706015110015869,0.39844316244125366,0.18090534628136085,0.2,0.5640333294868469,-19.799578869342803,,
157696,4.5421511400000005,1.0,17,9247,77,0.0003,2.7327456,0.9123046875,0.026854344340972603,760,0.06405971199274063,0.3914700150489807,0.15180442594573834,0.2,0.5636507272720337,-19.744244313240053,,
159744,4.50352425,1.0,17,9367,78,0.0003,2.6649027,0.902587890625,0.02726493418449536,770,0.17871145904064178,0.39242619276046753,0.15156027248885948,0.2,0.5614972114562988,-19.669761711359023,,
160000,,,,,,0.0003,3.2638352,0.92373046875,0.026892397232586518,780,0.1767023354768753,0.37937647104263306,0.17682399729965254,0.2,0.560650646686554,-19.594538933038713,4.5376346000000005,1.0
