rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/explained_variance,train/std,train/value_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,eval/mean_ep_length,eval/mean_reward
1.0,4.9638370400000005,26,23,53248,2289,-19.705253112316132,0.09931648979254533,0.2,0.0003,0.6699955463409424,0.9047098755836487,0.0397385896591004,1.067184,250,0.830419921875,0.16043664515018463,,
1.0,4.97970343,27,23,55296,2375,-19.67249864935875,0.20323768827365712,0.2,0.0003,0.6831923127174377,0.9040946960449219,0.03981645203894004,1.2580767,260,0.88076171875,0.104172483086586,,
1.0,4.94768046,28,23,57344,2461,-19.660303884744643,0.13990212347125636,0.2,0.0003,0.726242184638977,0.9044867157936096,0.040624911244958636,1.5629187,270,0.873974609375,0.10121311992406845,,
1.0,4.99331598,29,23,59392,2547,-19.655612188577653,0.14835147883568425,0.2,0.0003,0.6689174175262451,0.9045087099075317,0.04279611114761792,1.6156203,280,0.861767578125,0.11522313952445984,,
,,,,60000,,-19.65902873277664,0.23212737125868443,0.2,0.0003,0.6296253204345703,0.9045118689537048,0.04509554905234836,2.0724313,290,0.890576171875,0.14311575889587402,1.0,5.0452994
1.0,4.92200762,30,23,61440,2634,,,,,,,,,,,,,
1.0,4.964226579999999,31,23,63488,2726,-19.6550112426281,0.16961905629723334,0.2,0.0003,0.6612643003463745,0.9036100506782532,0.04348368154605851,2.216287,300,0.896875,0.010242829099297523,,
1.0,4.943446130000001,32,23,65536,2814,-19.617887800931932,0.1651351265143603,0.2,0.0003,0.7075035572052002,0.9016127586364746,0.03970495707471855,1.9217482,310,0.882080078125,0.14733290672302246,,
1.0,4.973830899999999,33,23,67584,2900,-19.615598738193512,0.27353211868321525,0.2,0.0003,0.6785014867782593,0.9032303690910339,0.06078166282968596,2.801001,320,0.9283203125,0.15369336307048798,,
1.0,4.970458440000001,34,23,69632,2987,-19.63719016313553,0.1986168388801161,0.2,0.0003,0.6471134424209595,0.9015863537788391,0.042659062333405016,1.7322614,330,0.900927734375,0.11812807619571686,,
,,,,70000,,-19.616510897874832,0.20772745218127966,0.2,0.0003,0.649793267250061,0.9021161794662476,0.042154648812720553,2.2668366,340,0.883447265625,0.10842281579971313,1.0,4.8825314
1.0,4.93237147,35,23,71680,3080,,,,,,,,,,,,,
1.0,4.97582447,36,23,73728,3166,-19.628152030706406,0.21192446229979395,0.2,0.0003,0.6539633274078369,0.9023947715759277,0.04249668039847165,1.8399508,350,0.873046875,0.36102932691574097,,
1.0,4.99571876,37,23,75776,3253,-19.594932550191878,0.11322584606823512,0.2,0.0003,0.5907015800476074,0.899557888507843,0.04232410216354765,1.676032,360,0.84365234375,0.08637504279613495,,
1.0,4.97206523,38,23,77824,3345,-19.56823124885559,0.133947276690742,0.2,0.0003,0.628385603427887,0.899837851524353,0.04296117095509544,1.8153987,370,0.855322265625,0.14166805148124695,,
1.0,5.0235671900000005,39,23,79872,3437,-19.53732500076294,0.17388144104625097,0.2,0.0003,0.6112096905708313,0.8973557353019714,0.04490447856951505,3.0179148,380,0.892822265625,0.09211798012256622,,
,,,,80000,,-19.52500576376915,0.22836929893819616,0.2,0.0003,0.664610743522644,0.8981783390045166,0.04619819549843669,3.270233,390,0.915234375,0.2428201586008072,1.0,5.168368599999999
1.0,5.00243971,40,23,81920,3524,,,,,,,,,,,,,
1.0,4.99055916,41,23,83968,3616,-19.51358586549759,0.1480574082088424,0.2,0.0003,0.6555215120315552,0.894282341003418,0.04498980932985432,2.3432927,400,0.887255859375,0.7512970566749573,,
1.0,4.993880369999999,42,23,86016,3702,-19.4654143512249,0.21519858253886923,0.2,0.0003,0.6337783336639404,0.8930617570877075,0.04240100644528866,2.133168,410,0.90595703125,0.09966976940631866,,
1.0,5.002610860000001,43,23,88064,3788,-19.448500752449036,0.1476713378855493,0.2,0.0003,0.6629670858383179,0.8928112387657166,0.0483712981804274,1.9751271,420,0.888232421875,0.09623509645462036,,
,,,,90000,,-19.450192439556123,0.17367414073087276,0.2,0.0003,0.6759762167930603,0.89464271068573,0.04012191144865938,1.8686688,430,0.885009765625,0.3389647305011749,1.0,4.8634996
1.0,4.94414666,44,23,90112,3875,,,,,,,,,,,,,
1.0,4.884325909999999,45,23,92160,3961,-19.482145696878433,0.17895865827449597,0.2,0.0003,0.6784185767173767,0.8955995440483093,0.04140237230458297,2.2657013,440,0.892626953125,0.21807631850242615,,
1.0,4.94275761,46,23,94208,4048,-19.46413533091545,0.18837949208100327,0.2,0.0003,0.6662470102310181,0.8929510712623596,0.04674954126821831,2.6067033,450,0.90625,0.10688310861587524,,
1.0,4.96945135,47,23,96256,4140,-19.458738094568254,0.1529083581524901,0.2,0.0003,0.6407360434532166,0.8928170800209045,0.04874341562972404,1.8540802,460,0.889306640625,0.009177828207612038,,
1.0,4.95608604,48,23,98304,4227,-19.443349766731263,0.16323064413736574,0.2,0.0003,0.6570634841918945,0.8916568160057068,0.04516154967714101,1.2501478,470,0.86943359375,0.10417640209197998,,
,,,,100000,,-19.44293469786644,0.16378848576860036,0.2,0.0003,0.6354299187660217,0.894661545753479,0.04661934787291102,1.3003641,480,0.867236328125,0.20291391015052795,1.0,5.2790382000000005
1.0,4.94736329,49,23,100352,4314,,,,,,,,,,,,,
1.0,5.00246685,50,23,102400,4405,-19.44023675918579,0.14854704771423713,0.2,0.0003,0.6500370502471924,0.8911539912223816,0.04540306353010237,1.4388273,490,0.8822265625,0.1956610381603241,,
1.0,5.00840227,51,23,104448,4491,-19.393643993139268,0.1449037202168256,0.2,0.0003,0.6481963396072388,0.8904963731765747,0.04397935249726288,2.1792486,500,0.893896484375,0.03375398740172386,,
1.0,5.007783040000001,52,23,106496,4581,-19.36050812602043,0.3004544830822852,0.2,0.0003,0.6355770826339722,0.8887419700622559,0.044907455990323794,2.7581568,510,0.898291015625,0.1330825388431549,,
1.0,4.99047441,53,23,108544,4667,-19.356217217445373,0.20939222774468363,0.2,0.0003,0.6685487031936646,0.889265239238739,0.04456057410570793,3.1055796,520,0.901513671875,0.23281925916671753,,
,,,,110000,,-19.310789394378663,0.1504832142905798,0.2,0.0003,0.6627761721611023,0.8823357224464417,0.04252436494571157,2.4055433,530,0.8943359375,0.16851980984210968,1.0,4.88305
1.0,5.018547550000001,54,23,110592,4753,,,,,,,,,,,,,
1.0,4.98901062,55,23,112640,4838,-19.23260943889618,0.23565884155686945,0.2,0.0003,0.6267893314361572,0.8814266920089722,0.05357888186117634,3.0553696,540,0.916748046875,0.2629343271255493,,
1.0,4.920453570000001,56,23,114688,4923,-19.22882721424103,0.6099938135768752,0.2,0.0003,0.6555098295211792,0.8825395703315735,0.04224738501361571,2.9465313,550,0.919482421875,0.1266767680644989,,
1.0,4.868137049999999,57,23,116736,5009,-19.26423748731613,0.205344748304924,0.2,0.0003,0.6818376779556274,0.8851385116577148,0.04576191469095647,2.576916,560,0.89580078125,0.428103506565094,,
1.0,4.98239969,58,23,118784,5094,-19.325470703840256,0.13739342369372026,0.2,0.0003,0.6736293435096741,0.8885395526885986,0.04627322349697351,2.1927962,570,0.891943359375,0.07846282422542572,,
,,,,120000,,-19.325113672018052,0.16888186935684643,0.2,0.0003,0.6724681854248047,0.8857726454734802,0.04664951233426109,1.8616817,580,0.882470703125,0.18481527268886566,1.0,4.753290799999999
1.0,5.005638020000001,59,23,120832,5179,,,,,,,,,,,,,
1.0,5.07778061,60,23,122880,5264,-19.272468435764313,0.14502481051022187,0.2,0.0003,0.6858433485031128,0.8817136883735657,0.04659518619882874,1.6209543,590,0.87890625,0.08889084309339523,,
1.0,4.9794379399999995,61,23,124928,5349,-19.21725915670395,0.15118755635921843,0.2,0.0003,0.6798469424247742,0.8799356818199158,0.04715611204737798,2.0520542,600,0.8787109375,0.12580540776252747,,
1.0,5.0425974700000005,62,23,126976,5434,-19.128344643115998,0.18577399025671185,0.2,0.0003,0.660930335521698,0.8718818426132202,0.04987338535720483,2.1912823,610,0.891552734375,0.2976205050945282,,
1.0,5.0197229299999995,63,23,129024,5520,-19.057488161325455,0.19734440706088208,0.2,0.0003,0.6470955610275269,0.8706092238426208,0.047255911683896555,2.404696,620,0.9046875,0.20190003514289856,,
,,,,130000,,-19.029051131010057,0.18228967364411802,0.2,0.0003,0.6557425260543823,0.8677676320075989,0.0508040918270126,1.7714425,630,0.891552734375,0.12022212892770767,1.0,5.1688326
1.0,5.026585749999999,64,23,131072,5605,,,,,,,,,,,,,
1.0,5.069379,65,23,133120,5689,-18.97033009529114,0.23689325621817262,0.2,0.0003,0.5914424657821655,0.8657736778259277,0.046051742287818345,2.266504,640,0.8916015625,0.12127479910850525,,
1.0,5.0964291600000005,66,23,135168,5775,-18.93960182070732,0.19512408397276887,0.2,0.0003,0.6269201040267944,0.8626914024353027,0.04663421020959504,2.706861,650,0.898095703125,7.004083633422852,,
1.0,5.07836234,67,23,137216,5864,-18.92109194993973,0.23467313652508892,0.2,0.0003,0.6460287570953369,0.864366888999939,0.04662155915284529,2.2284112,660,0.9220703125,0.08799073100090027,,
1.0,5.06303221,68,23,139264,5948,-18.94527948498726,0.2809804442105815,0.2,0.0003,0.6452315449714661,0.8659786581993103,0.04799082929966971,4.141804,670,0.921630859375,0.4930090010166168,,
,,,,140000,,-18.978989470005036,0.2582250647479668,0.2,0.0003,0.5990965366363525,0.8674848079681396,0.052364085079170765,3.930028,680,0.923974609375,0.16231262683868408,1.0,5.1086486
1.0,4.998961550000001,69,23,141312,6034,,,,,,,,,,,,,
1.0,4.9624951799999995,70,23,143360,6119,-18.995482671260834,0.19396404389408417,0.2,0.0003,0.6143665313720703,0.8666534423828125,0.04728210165631026,2.5955663,690,0.879443359375,0.16654102504253387,,
1.0,4.95944467,71,23,145408,6209,-19.00618108510971,0.2092756282771006,0.2,0.0003,0.6020410060882568,0.8681812286376953,0.05255849453387782,2.1361752,700,0.89951171875,0.31353962421417236,,
1.0,5.0644518099999996,72,23,147456,6294,-19.007152837514877,0.17577268406748772,0.2,0.0003,0.61466383934021,0.8670676350593567,0.05115858383360319,2.0966282,710,0.900537109375,0.16646873950958252,,
1.0,5.021667369999999,73,23,149504,6379,-19.03981856703758,0.19988218901562504,0.2,0.0003,0.6505898237228394,0.869936466217041,0.04665503924479708,2.2062788,720,0.91005859375,0.23945502936840057,,
,,,,150000,,-19.060892522335052,0.19683230492519216,0.2,0.0003,0.5903754234313965,0.8708879351615906,0.048923823167569935,2.592896,730,0.91201171875,0.10094649344682693,1.0,5.0256438
1.0,5.04149522,74,23,151552,6470,,,,,,,,,,,,,
1.0,5.089689270000001,75,23,153600,6555,-19.05252448916435,0.4032407054677606,0.2,0.0003,0.6288433074951172,0.8690646886825562,0.054507735033985226,3.1936743,740,0.930712890625,0.5173202157020569,,
1.0,5.05765965,76,23,155648,6645,-19.043262726068498,0.17793024850543587,0.2,0.0003,0.6061455011367798,0.8697548508644104,0.05182824640069157,1.833143,750,0.889208984375,0.1783287674188614,,
1.0,5.05111257,77,23,157696,6736,-19.01269555091858,0.16143498324090616,0.2,0.0003,0.6364263296127319,0.8667894005775452,0.048200153361540286,2.0298429,760,0.886474609375,0.10982394963502884,,
1.0,5.00322223,78,23,159744,6822,-18.975221598148345,0.14953722089412622,0.2,0.0003,0.6174155473709106,0.8643117547035217,0.0492598663084209,2.1881447,770,0.895068359375,0.1508629024028778,,
,,,,160000,,-18.927702856063842,0.16860206057317556,0.2,0.0003,0.5774500370025635,0.8632099628448486,0.05099101050873287,2.696956,780,0.905126953125,0.11169064790010452,1.0,5.145219
1.0,5.036070960000001,79,23,161792,6912,,,,,,,,,,,,,
1.0,5.07035411,80,23,163840,7003,-18.926840859651566,0.16341694396687673,0.2,0.0003,0.6234928369522095,0.8633995652198792,0.05011323875514791,2.5948052,790,0.901318359375,0.0022595711052417755,,
1.0,5.01805513,81,23,165888,7088,-18.85382542014122,0.1588784329185728,0.2,0.0003,0.5990098714828491,0.8554717898368835,0.051777530438266696,2.9840102,800,0.903466796875,0.155717134475708,,
1.0,5.17100713,82,23,167936,7173,-18.788256430625914,0.18816902512917294,0.2,0.0003,0.6140304803848267,0.8564504384994507,0.05135384557652287,2.3729029,810,0.910791015625,0.13875964283943176,,
1.0,5.10964136,83,23,169984,7258,-18.79257865548134,0.1848813905060524,0.2,0.0003,0.6380647420883179,0.855271577835083,0.05163759531569667,2.576314,820,0.9115234375,0.05345864221453667,,
,,,,170000,,-18.795045787096022,0.24953858694061637,0.2,0.0003,0.596648633480072,0.8573272228240967,0.05283990658354014,4.496934,830,0.92197265625,0.19483163952827454,1.0,5.1552945999999995
1.0,5.07113945,84,23,172032,7343,,,,,,,,,,,,,
1.0,5.0159175099999995,85,23,174080,7428,-18.799445605278017,0.17887069971184247,0.2,0.0003,0.6767480373382568,0.8553678393363953,0.04760085602174513,1.930668,840,0.898486328125,0.22468021512031555,,
1.0,5.06756246,86,23,176128,7513,-18.79775823354721,0.20815207088016904,0.2,0.0003,0.6672804951667786,0.8575449585914612,0.04719230784685351,3.2932098,850,0.90517578125,0.21490362286567688,,
1.0,5.08727542,87,23,178176,7603,-18.827567118406296,0.17347054114798083,0.2,0.0003,0.6167713403701782,0.8572686314582825,0.051194182358449324,2.4603286,860,0.898095703125,0.13002756237983704,,
,,,,180000,,-18.807470983266832,0.15025314678787255,0.2,0.0003,0.6308051943778992,0.8555763959884644,0.050546632445184515,1.939077,870,0.886376953125,0.09255960583686829,1.0,5.154505800000001
1.0,5.0356811299999995,88,23,180224,7688,,,,,,,,,,,,,
1.0,5.06860993,89,23,182272,7772,-18.76414946317673,0.13850270773691592,0.2,0.0003,0.6407686471939087,0.8545749187469482,0.05082829192397185,2.268817,880,0.8921875,0.09584018588066101,,
1.0,5.093024069999999,90,23,184320,7858,-18.750294655561447,0.48248112440051044,0.2,0.0003,0.6507264375686646,0.8542064428329468,0.04763968758634292,2.865698,890,0.9021484375,0.5842700600624084,,
1.0,5.141841969999999,91,23,186368,7943,-18.74966170787811,0.23938620092521887,0.2,0.0003,0.6333386898040771,0.8536903262138367,0.05890615759417415,3.3164926,900,0.93017578125,0.14999379217624664,,
1.0,5.08204879,92,23,188416,8027,-18.731361055374144,0.6310993943247013,0.2,0.0003,0.480835497379303,0.8501414060592651,0.061152739962562916,4.344765,910,0.921337890625,0.21986114978790283,,
,,,,190000,,-18.65684111714363,0.17534666044521147,0.2,0.0003,0.6006442308425903,0.8459076285362244,0.057531284145079555,2.7062395,920,0.904833984375,0.09575580060482025,1.0,5.262178400000001
1.0,5.019615480000001,93,23,190464,8113,,,,,,,,,,,,,
1.0,5.0443577699999995,94,23,192512,8198,-18.6018757045269,0.14431143534602597,0.2,0.0003,0.6500562429428101,0.8449481129646301,0.048810050886822866,1.6024257,930,0.88134765625,0.09549111127853394,,
1.0,5.0703378699999995,95,23,194560,8283,-18.588644152879716,0.22428653395327275,0.2,0.0003,0.6663647890090942,0.8433500528335571,0.04885920890374109,3.594522,940,0.9181640625,0.11630769073963165,,
1.0,5.13189362,96,23,196608,8368,-18.574646270275117,0.2224989804410143,0.2,0.0003,0.6548370122909546,0.8444068431854248,0.05108418732415885,2.3980665,950,0.903076171875,0.21921035647392273,,
1.0,5.12624382,97,23,198656,8454,-18.560549181699752,0.2015946569503285,0.2,0.0003,0.6399736404418945,0.8423953056335449,0.05615912785870023,2.8293962,960,0.903759765625,0.2243449091911316,,
,,,,200000,,-18.567309272289275,0.2916436295665335,0.2,0.0003,0.6105089783668518,0.8438631892204285,0.05618124709581025,4.7909236,970,0.9267578125,0.2507098317146301,1.0,5.191731
1.0,5.024973050000001,98,23,200704,8539,,,,,,,,,,,,,
1.0,5.095777969999999,99,23,202752,8625,-18.58953412771225,0.2106428600149229,0.2,0.0003,0.645720362663269,0.8437313437461853,0.05330573015962727,2.9360926,980,0.921728515625,0.08184632658958435,,
1.0,5.073494129999999,100,23,204800,8709,-18.561103773117065,0.1605644798721187,0.2,0.0003,0.6293129920959473,0.8415459394454956,0.05710547766648233,2.1684275,990,0.892431640625,0.17760112881660461,,
1.0,5.09522825,101,23,206848,8795,-18.526413249969483,0.2584511505498085,0.2,0.0003,0.6648349165916443,0.8393471837043762,0.0517180385068059,3.4554887,1000,0.92158203125,0.22219282388687134,,
1.0,5.042870349999999,102,23,208896,8880,-18.483669418096543,0.21187007427215576,0.2,0.0003,0.6429240107536316,0.8383208513259888,0.05066266439971514,2.759279,1010,0.90947265625,0.25686925649642944,,
,,,,210000,,-18.457420063018798,0.22145549434935674,0.2,0.0003,0.6378753185272217,0.8375024795532227,0.051821056730113925,2.715652,1020,0.914892578125,0.14355328679084778,1.0,5.231942399999999
1.0,5.09077608,103,23,210944,8967,,,,,,,,,,,,,
1.0,5.02720866,104,23,212992,9052,-18.465245682001115,0.22951229421887548,0.2,0.0003,0.6289464235305786,0.8389706015586853,0.055524277460062874,4.5213394,1030,0.926171875,0.12846389412879944,,
1.0,5.096469979999999,105,23,215040,9137,-18.4689764380455,0.15931695457547904,0.2,0.0003,0.6049176454544067,0.838213324546814,0.05355202159262262,3.3334222,1040,0.89814453125,0.15799373388290405,,
1.0,5.06799607,106,23,217088,9222,-18.470882242918016,0.2816400149895344,0.2,0.0003,0.6640480756759644,0.8394578099250793,0.04786532649886795,4.3477187,1050,0.9181640625,0.2539774477481842,,
1.0,5.1360595500000015,107,23,219136,9308,-18.510322749614716,0.21479728604317644,0.2,0.0003,0.6660871505737305,0.8421761989593506,0.051011822221335025,3.9887066,1060,0.928955078125,0.22251184284687042,,
,,,,220000,,-18.506356531381606,0.16725495103746651,0.2,0.0003,0.6558209657669067,0.8401915431022644,0.04898505367455073,2.6870656,1070,0.88974609375,0.17212603986263275,1.0,5.0888653999999995
1.0,5.127703,108,23,221184,9394,,,,,,,,,,,,,
1.0,5.0470047099999995,109,23,223232,9480,-18.475043386220932,0.14977251798263752,0.2,0.0003,0.6377196311950684,0.8384360671043396,0.05266885324963368,2.0297031,1080,0.88671875,0.2121097594499588,,
1.0,5.10924087,110,23,225280,9570,-18.458892142772676,0.22447258536703885,0.2,0.0003,0.6479030847549438,0.8385707139968872,0.05604186291457154,3.1152716,1090,0.9236328125,0.13127140700817108,,
1.0,5.10790546,111,23,227328,9656,-18.454027897119524,0.17711850951309316,0.2,0.0003,0.6291742920875549,0.8368955850601196,0.05356765331234783,2.533582,1100,0.90712890625,0.13727986812591553,,
1.0,5.05270855,112,23,229376,9747,-18.432685047388077,0.2592177936632652,0.2,0.0003,0.5705143213272095,0.836274266242981,0.0622749465634115,2.9784992,1110,0.9171875,0.14348356425762177,,
,,,,230000,,-18.41737111210823,0.20021905472385698,0.2,0.0003,0.5784530639648438,0.8343456983566284,0.0588871264772024,3.2687776,1120,0.90361328125,0.19840985536575317,1.0,5.2154046
1.0,5.07703682,113,23,231424,9832,,,,,,,,,,,,,
1.0,5.140895309999999,114,23,233472,9917,-18.380373001098633,0.2073754310142249,0.2,0.0003,0.5764503479003906,0.8331824541091919,0.0625855851569213,4.4643364,1130,0.917333984375,0.16500653326511383,,
1.0,5.006147100000001,115,23,235520,10001,-18.36758820414543,0.1626273974950891,0.2,0.0003,0.5249097347259521,0.8329587578773499,0.054758427385240796,1.9747161,1140,0.886767578125,0.1464897096157074,,
1.0,5.0771911,116,23,237568,10086,-18.386391240358353,0.2532464816758875,0.2,0.0003,0.6462960839271545,0.8351054191589355,0.05433602066477761,3.3700538,1150,0.919287109375,0.2851547598838806,,
1.0,5.073305889999999,117,23,239616,10176,-18.408915793895723,0.3197639263351448,0.2,0.0003,0.5891236662864685,0.8352612257003784,0.05700036765774712,4.3104854,1160,0.91396484375,0.2252313196659088,,
,,,,240000,,-18.425046110153197,0.23761625508777798,0.2,0.0003,0.6253665089607239,0.836426854133606,0.054383834276814015,4.0137463,1170,0.921875,0.21095725893974304,1.0,5.432066999999999
1.0,5.05669258,118,23,241664,10266,,,,,,,,,,,,,
1.0,5.017307980000001,119,23,243712,10356,-18.443073874711992,0.1961056588916108,0.2,0.0003,0.6621971726417542,0.8364920616149902,0.05204636637354269,2.21766,1180,0.904736328125,0.07806059718132019,,
1.0,5.077344879999999,120,23,245760,10446,-18.43263264298439,0.18165468418737873,0.2,0.0003,0.6523237228393555,0.8368915915489197,0.05407192130805925,3.1811419,1190,0.9021484375,0.06064477562904358,,
1.0,5.08566911,121,23,247808,10531,-18.397501242160796,0.22967075489577837,0.2,0.0003,0.6198746562004089,0.8341377973556519,0.05310358919086866,2.8725367,1200,0.90341796875,0.09623569250106812,,
1.0,5.11374616,122,23,249856,10615,-18.373047751188277,0.180238868331071,0.2,0.0003,0.6168636083602905,0.8329706192016602,0.05308133896905929,2.324857,1210,0.904296875,0.20076996088027954,,
,,,,250000,,-18.33824623823166,0.2287948826153297,0.2,0.0003,0.6140997409820557,0.8296537399291992,0.05608289832016453,2.7824137,1220,0.90712890625,0.2519173324108124,1.0,5.1738874
1.0,5.114452090000001,123,23,251904,10700,,,,,,,,,,,,,
1.0,5.08104109,124,23,253952,10785,-18.31090294122696,0.2539981444570003,0.2,0.0003,0.6101211309432983,0.8304943442344666,0.055831832624971864,3.7582457,1230,0.915673828125,0.18525590002536774,,
1.0,5.1596746300000005,125,23,256000,10870,-18.313657385110854,0.2917882044974249,0.2,0.0003,0.594084620475769,0.8316726684570312,0.05809670105809346,3.9434242,1240,0.935791015625,0.14445948600769043,,
1.0,5.08535531,126,23,258048,10955,-18.320903211832047,0.1931003984384006,0.2,0.0003,0.6220629811286926,0.8300590515136719,0.05258777617127634,2.8409119,1250,0.910400390625,0.1184503585100174,,
,,,,260000,,-18.26530841588974,0.15570639744400977,0.2,0.0003,0.6268179416656494,0.8257381916046143,0.0510849290585611,2.0385346,1260,0.8970703125,0.15216569602489471,1.0,5.1864928
1.0,5.06135679,127,23,260096,11041,,,,,,,,,,,,,
1.0,5.1241876600000005,128,23,262144,11131,-18.163572919368743,0.10626368432422169,0.2,0.0003,0.631632924079895,0.8196848630905151,0.04832132224692032,2.324465,1270,0.885986328125,0.1898733228445053,,
