[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=False
[po4ncpa] ideal-image residual ref: max=1.000e+00 sum=1.107e+01
ep 10500 | dynL 0.387 polR -2.049e+01 | train C 2.31e-03 S 0.015 | EVAL C 2.358e-03 S 0.0120 | buf 200000 | 16905s
ep 10750 | dynL 0.383 polR -2.083e+01 | train C 2.30e-03 S 0.012 | EVAL C 2.335e-03 S 0.0129 | buf 200000 | 17315s
ep 11000 | dynL 0.381 polR -2.087e+01 | train C 2.13e-03 S 0.011 | EVAL C 2.287e-03 S 0.0131 | buf 200000 | 17740s
ep 11250 | dynL 0.374 polR -2.061e+01 | train C 2.21e-03 S 0.010 | EVAL C 2.236e-03 S 0.0081 | buf 200000 | 18154s
ep 11500 | dynL 0.373 polR -2.095e+01 | train C 2.21e-03 S 0.008 | EVAL C 2.162e-03 S 0.0083 | buf 200000 | 18554s
ep 11750 | dynL 0.368 polR -2.043e+01 | train C 2.52e-03 S 0.019 | EVAL C 2.379e-03 S 0.0108 | buf 200000 | 18978s
ep 12000 | dynL 0.361 polR -2.097e+01 | train C 2.31e-03 S 0.010 | EVAL C 2.209e-03 S 0.0107 | buf 200000 | 19409s
ep 12250 | dynL 0.358 polR -2.062e+01 | train C 2.05e-03 S 0.015 | EVAL C 2.248e-03 S 0.0099 | buf 200000 | 19823s
ep 12500 | dynL 0.352 polR -1.872e+01 | train C 1.73e-03 S 0.011 | EVAL C 1.348e-03 S 0.0092 | buf 200000 | 20248s
ep 12750 | dynL 0.349 polR -2.100e+01 | train C 1.08e-03 S 0.007 | EVAL C 1.024e-03 S 0.0064 | buf 200000 | 20668s
ep 13000 | dynL 0.345 polR -2.033e+01 | train C 1.05e-03 S 0.008 | EVAL C 9.215e-04 S 0.0067 | buf 200000 | 21071s
ep 13250 | dynL 0.339 polR -2.035e+01 | train C 1.31e-03 S 0.014 | EVAL C 1.189e-03 S 0.0088 | buf 200000 | 21500s
ep 13500 | dynL 0.334 polR -1.987e+01 | train C 1.32e-03 S 0.009 | EVAL C 1.147e-03 S 0.0076 | buf 200000 | 21925s
ep 13750 | dynL 0.330 polR -1.985e+01 | train C 1.16e-03 S 0.006 | EVAL C 1.140e-03 S 0.0064 | buf 200000 | 22324s
ep 14000 | dynL 0.326 polR -2.032e+01 | train C 1.49e-03 S 0.009 | EVAL C 1.157e-03 S 0.0078 | buf 200000 | 22761s
ep 14250 | dynL 0.323 polR -1.993e+01 | train C 1.16e-03 S 0.009 | EVAL C 1.065e-03 S 0.0064 | buf 200000 | 23218s
ep 14500 | dynL 0.321 polR -1.910e+01 | train C 1.37e-03 S 0.008 | EVAL C 1.214e-03 S 0.0072 | buf 200000 | 23634s
ep 14750 | dynL 0.322 polR -2.002e+01 | train C 1.54e-03 S 0.008 | EVAL C 1.322e-03 S 0.0072 | buf 200000 | 24063s
