name, memory.total [MiB]
Tesla V100-PCIE-32GB, 32768 MiB
[infogain] correction scale min 2.84e-09 max 4.62e-08 | probe scale (x0.1) min 2.84e-10 max 4.62e-09 | modes=55 action=110
[infogain] RESUMED from logs/po4ncpa_dynamic_scratch_t10/po4ncpa_infogain_best.pt
[infogain] reloaded replay buffer (200000 transitions) from logs/po4ncpa_dynamic_scratch_t10/replay_buffer.npz -> refill gate skipped, updates start immediately
[infogain] device=cuda image=33x33 modes=55 action=110 workers=14 max_steps=8 lambda_info=0.0 reward=log lr_final_frac=0.5 explore_std_final=0.01
ep  8820 | dynL 0.522 polR 2.591e-01 info 2.068e-02 | train C 3.14e-05 S 0.992 | EVAL C 4.756e-05 S 0.9928 | buf 200000 | 8597s
ep  9072 | dynL 0.523 polR 2.417e-01 info 2.483e-02 | train C 9.91e-05 S 0.983 | EVAL C 4.842e-05 S 0.9925 | buf 200000 | 8844s
ep  9324 | dynL 0.523 polR 2.872e-01 info 1.739e-02 | train C 3.25e-05 S 0.996 | EVAL C 4.554e-05 S 0.9930 | buf 200000 | 9093s
ep  9576 | dynL 0.525 polR 2.812e-01 info 1.541e-02 | train C 1.02e-04 S 0.982 | EVAL C 4.792e-05 S 0.9927 | buf 200000 | 9341s
ep  9828 | dynL 0.525 polR 2.817e-01 info 1.728e-02 | train C 1.25e-04 S 0.984 | EVAL C 5.029e-05 S 0.9925 | buf 200000 | 9585s
[infogain] saved replay buffer (200000 transitions) -> logs/po4ncpa_dynamic_scratch2_t10/replay_buffer.npz (7.7s)
ep 10080 | dynL 0.527 polR 2.691e-01 info 1.868e-02 | train C 4.78e-05 S 0.995 | EVAL C 4.925e-05 S 0.9923 | buf 200000 | 9836s
ep 10332 | dynL 0.529 polR 2.350e-01 info 2.520e-02 | train C 3.52e-05 S 0.992 | EVAL C 5.142e-05 S 0.9920 | buf 200000 | 10085s
ep 10584 | dynL 0.529 polR 2.668e-01 info 2.186e-02 | train C 4.13e-05 S 0.994 | EVAL C 4.928e-05 S 0.9922 | buf 200000 | 10330s
ep 10836 | dynL 0.528 polR 2.844e-01 info 2.389e-02 | train C 5.43e-05 S 0.993 | EVAL C 4.777e-05 S 0.9923 | buf 200000 | 10572s
ep 11088 | dynL 0.530 polR 2.907e-01 info 3.161e-02 | train C 3.19e-05 S 0.995 | EVAL C 4.845e-05 S 0.9923 | buf 200000 | 10821s
ep 11340 | dynL 0.529 polR 2.779e-01 info 1.783e-02 | train C 4.07e-05 S 0.991 | EVAL C 5.153e-05 S 0.9918 | buf 200000 | 11067s
ep 11592 | dynL 0.531 polR 3.358e-01 info 1.244e-02 | train C 2.85e-05 S 0.996 | EVAL C 4.921e-05 S 0.9928 | buf 200000 | 11313s
ep 11844 | dynL 0.532 polR 3.053e-01 info 1.691e-02 | train C 5.27e-05 S 0.994 | EVAL C 5.106e-05 S 0.9927 | buf 200000 | 11555s
ep 12096 | dynL 0.530 polR 2.848e-01 info 2.334e-02 | train C 8.75e-05 S 0.986 | EVAL C 4.643e-05 S 0.9933 | buf 200000 | 11798s
ep 12348 | dynL 0.531 polR 2.572e-01 info 1.772e-02 | train C 4.54e-05 S 0.992 | EVAL C 4.917e-05 S 0.9928 | buf 200000 | 12040s
ep 12600 | dynL 0.531 polR 2.933e-01 info 2.269e-02 | train C 3.51e-05 S 0.995 | EVAL C 4.574e-05 S 0.9930 | buf 200000 | 12286s
ep 12852 | dynL 0.536 polR 2.958e-01 info 2.040e-02 | train C 4.68e-05 S 0.992 | EVAL C 4.594e-05 S 0.9928 | buf 200000 | 12531s
ep 13104 | dynL 0.534 polR 2.904e-01 info 2.224e-02 | train C 1.92e-05 S 0.996 | EVAL C 4.593e-05 S 0.9929 | buf 200000 | 12775s
ep 13356 | dynL 0.536 polR 3.165e-01 info 1.350e-02 | train C 2.28e-05 S 0.996 | EVAL C 4.758e-05 S 0.9929 | buf 200000 | 13021s
ep 13608 | dynL 0.534 polR 2.492e-01 info 2.810e-02 | train C 8.92e-05 S 0.986 | EVAL C 4.884e-05 S 0.9925 | buf 200000 | 13267s
ep 13860 | dynL 0.534 polR 2.479e-01 info 3.067e-02 | train C 6.66e-05 S 0.992 | EVAL C 4.836e-05 S 0.9926 | buf 200000 | 13514s
ep 14112 | dynL 0.534 polR 3.048e-01 info 1.379e-02 | train C 1.51e-05 S 0.998 | EVAL C 4.853e-05 S 0.9925 | buf 200000 | 13759s
ep 14364 | dynL 0.535 polR 2.952e-01 info 1.682e-02 | train C 7.49e-05 S 0.989 | EVAL C 4.927e-05 S 0.9924 | buf 200000 | 14005s
ep 14616 | dynL 0.538 polR 3.198e-01 info 1.354e-02 | train C 5.09e-05 S 0.986 | EVAL C 4.991e-05 S 0.9924 | buf 200000 | 14253s
ep 14868 | dynL 0.537 polR 3.645e-01 info 1.269e-02 | train C 9.35e-05 S 0.986 | EVAL C 4.925e-05 S 0.9926 | buf 200000 | 14497s
ep 15120 | dynL 0.538 polR 1.913e-01 info 3.697e-02 | train C 1.79e-05 S 0.998 | EVAL C 4.909e-05 S 0.9930 | buf 200000 | 14745s
ep 15372 | dynL 0.538 polR 3.051e-01 info 1.460e-02 | train C 9.95e-05 S 0.985 | EVAL C 4.603e-05 S 0.9935 | buf 200000 | 14989s
ep 15624 | dynL 0.540 polR 2.890e-01 info 1.650e-02 | train C 8.29e-05 S 0.990 | EVAL C 4.825e-05 S 0.9925 | buf 200000 | 15233s
ep 15876 | dynL 0.537 polR 2.817e-01 info 1.683e-02 | train C 4.05e-05 S 0.993 | EVAL C 4.849e-05 S 0.9924 | buf 200000 | 15480s
ep 16128 | dynL 0.539 polR 2.849e-01 info 2.244e-02 | train C 4.72e-05 S 0.993 | EVAL C 5.234e-05 S 0.9923 | buf 200000 | 15726s
ep 16380 | dynL 0.541 polR 2.386e-01 info 2.903e-02 | train C 5.56e-05 S 0.992 | EVAL C 4.876e-05 S 0.9931 | buf 200000 | 15970s
ep 16632 | dynL 0.540 polR 2.616e-01 info 1.668e-02 | train C 3.97e-05 S 0.995 | EVAL C 4.840e-05 S 0.9929 | buf 200000 | 16217s
ep 16884 | dynL 0.539 polR 2.532e-01 info 3.000e-02 | train C 7.13e-05 S 0.991 | EVAL C 4.561e-05 S 0.9933 | buf 200000 | 16461s
ep 17136 | dynL 0.540 polR 2.770e-01 info 1.716e-02 | train C 1.00e-04 S 0.986 | EVAL C 4.529e-05 S 0.9932 | buf 200000 | 16705s
ep 17388 | dynL 0.540 polR 3.218e-01 info 1.563e-02 | train C 5.46e-05 S 0.991 | EVAL C 4.460e-05 S 0.9930 | buf 200000 | 16948s
ep 17640 | dynL 0.540 polR 3.106e-01 info 2.040e-02 | train C 4.43e-05 S 0.993 | EVAL C 4.531e-05 S 0.9929 | buf 200000 | 17192s
ep 17892 | dynL 0.541 polR 3.083e-01 info 1.353e-02 | train C 5.56e-05 S 0.992 | EVAL C 4.916e-05 S 0.9926 | buf 200000 | 17435s
ep 18144 | dynL 0.546 polR 3.167e-01 info 1.689e-02 | train C 5.19e-05 S 0.987 | EVAL C 4.832e-05 S 0.9927 | buf 200000 | 17680s
ep 18396 | dynL 0.541 polR 2.504e-01 info 1.248e-02 | train C 3.41e-05 S 0.993 | EVAL C 4.921e-05 S 0.9926 | buf 200000 | 17919s
ep 18648 | dynL 0.541 polR 2.480e-01 info 2.838e-02 | train C 2.58e-05 S 0.995 | EVAL C 4.941e-05 S 0.9925 | buf 200000 | 18161s
ep 18900 | dynL 0.542 polR 2.846e-01 info 1.219e-02 | train C 8.87e-05 S 0.983 | EVAL C 5.161e-05 S 0.9920 | buf 200000 | 18406s
ep 19152 | dynL 0.545 polR 2.887e-01 info 1.626e-02 | train C 4.05e-05 S 0.995 | EVAL C 4.896e-05 S 0.9924 | buf 200000 | 18645s
ep 19404 | dynL 0.544 polR 2.026e-01 info 2.906e-02 | train C 9.57e-05 S 0.987 | EVAL C 5.132e-05 S 0.9929 | buf 200000 | 18891s
ep 19656 | dynL 0.543 polR 3.274e-01 info 1.476e-02 | train C 1.17e-04 S 0.974 | EVAL C 4.838e-05 S 0.9931 | buf 200000 | 19136s
ep 19908 | dynL 0.545 polR 2.995e-01 info 1.558e-02 | train C 4.52e-05 S 0.994 | EVAL C 4.849e-05 S 0.9925 | buf 200000 | 19380s
[infogain] saved replay buffer (200000 transitions) -> logs/po4ncpa_dynamic_scratch2_t10/replay_buffer.npz (7.9s)
ep 20160 | dynL 0.545 polR 2.852e-01 info 1.930e-02 | train C 1.12e-05 S 0.997 | EVAL C 4.801e-05 S 0.9929 | buf 200000 | 19632s
ep 20412 | dynL 0.545 polR 2.796e-01 info 2.919e-02 | train C 6.32e-05 S 0.989 | EVAL C 4.798e-05 S 0.9929 | buf 200000 | 19874s
ep 20664 | dynL 0.547 polR 2.957e-01 info 1.393e-02 | train C 3.61e-05 S 0.993 | EVAL C 4.875e-05 S 0.9925 | buf 200000 | 20124s
ep 20916 | dynL 0.547 polR 2.988e-01 info 1.208e-02 | train C 3.73e-05 S 0.991 | EVAL C 4.882e-05 S 0.9926 | buf 200000 | 20367s
ep 21168 | dynL 0.546 polR 2.273e-01 info 2.683e-02 | train C 1.44e-05 S 0.996 | EVAL C 4.930e-05 S 0.9926 | buf 200000 | 20615s
ep 21420 | dynL 0.547 polR 2.806e-01 info 1.533e-02 | train C 5.75e-05 S 0.991 | EVAL C 4.801e-05 S 0.9928 | buf 200000 | 20856s
ep 21672 | dynL 0.548 polR 1.836e-01 info 4.405e-02 | train C 7.01e-05 S 0.988 | EVAL C 5.067e-05 S 0.9926 | buf 200000 | 21099s
ep 21924 | dynL 0.547 polR 2.694e-01 info 1.570e-02 | train C 4.35e-05 S 0.992 | EVAL C 5.078e-05 S 0.9925 | buf 200000 | 21340s
ep 22176 | dynL 0.546 polR 2.340e-01 info 2.563e-02 | train C 4.53e-05 S 0.989 | EVAL C 4.934e-05 S 0.9920 | buf 200000 | 21585s
ep 22428 | dynL 0.549 polR 2.805e-01 info 1.424e-02 | train C 4.52e-05 S 0.993 | EVAL C 5.148e-05 S 0.9921 | buf 200000 | 21831s
ep 22680 | dynL 0.547 polR 2.760e-01 info 2.828e-02 | train C 1.35e-05 S 0.998 | EVAL C 4.921e-05 S 0.9922 | buf 200000 | 22072s
ep 22932 | dynL 0.550 polR 2.395e-01 info 1.934e-02 | train C 7.77e-05 S 0.991 | EVAL C 5.105e-05 S 0.9919 | buf 200000 | 22316s
ep 23184 | dynL 0.548 polR 2.614e-01 info 1.311e-02 | train C 5.51e-05 S 0.991 | EVAL C 5.227e-05 S 0.9922 | buf 200000 | 22559s
ep 23436 | dynL 0.548 polR 2.663e-01 info 1.850e-02 | train C 5.86e-05 S 0.986 | EVAL C 5.111e-05 S 0.9921 | buf 200000 | 22800s
ep 23688 | dynL 0.549 polR 2.025e-01 info 2.843e-02 | train C 7.13e-05 S 0.987 | EVAL C 5.032e-05 S 0.9922 | buf 200000 | 23042s
