[po4ncpa] per-mode action scale: min 2.52e-09 max 4.65e-08 (headroom 5.0, 55 modes)
[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=True
[po4ncpa] ideal-image residual ref: max=6.395e-10 sum=1.659e-07
ep 10250 | dynL 0.213 polR 1.178e-01 | train C 8.88e-05 S 0.990 | EVAL C 4.619e-05 S 0.9934 | buf 200000 | 23477s
ep 10500 | dynL 0.213 polR 2.312e-01 | train C 1.39e-04 S 0.978 | EVAL C 3.988e-05 S 0.9939 | buf 200000 | 24103s
ep 10750 | dynL 0.216 polR 1.516e-01 | train C 7.88e-05 S 0.986 | EVAL C 3.680e-05 S 0.9951 | buf 200000 | 24719s
ep 11000 | dynL 0.216 polR 2.699e-01 | train C 1.45e-04 S 0.983 | EVAL C 3.473e-05 S 0.9945 | buf 200000 | 25327s
ep 11250 | dynL 0.217 polR 2.499e-01 | train C 1.13e-04 S 0.974 | EVAL C 3.636e-05 S 0.9946 | buf 200000 | 25945s
ep 11500 | dynL 0.217 polR 1.693e-01 | train C 8.24e-05 S 0.981 | EVAL C 3.189e-05 S 0.9951 | buf 200000 | 26544s
ep 11750 | dynL 0.217 polR 3.178e-01 | train C 1.07e-04 S 0.984 | EVAL C 3.085e-05 S 0.9950 | buf 200000 | 27143s
ep 12000 | dynL 0.218 polR 3.065e-01 | train C 1.15e-04 S 0.987 | EVAL C 3.285e-05 S 0.9949 | buf 200000 | 27743s
ep 12250 | dynL 0.218 polR 2.790e-01 | train C 7.69e-05 S 0.983 | EVAL C 3.192e-05 S 0.9947 | buf 200000 | 28352s
ep 12500 | dynL 0.219 polR 3.777e-01 | train C 1.21e-04 S 0.968 | EVAL C 3.171e-05 S 0.9953 | buf 200000 | 28956s
ep 12750 | dynL 0.218 polR 3.587e-01 | train C 5.40e-05 S 0.986 | EVAL C 2.577e-05 S 0.9955 | buf 200000 | 29575s
ep 13000 | dynL 0.218 polR 3.844e-01 | train C 5.43e-05 S 0.988 | EVAL C 2.455e-05 S 0.9961 | buf 200000 | 30192s
ep 13250 | dynL 0.217 polR 3.621e-01 | train C 1.39e-04 S 0.976 | EVAL C 2.450e-05 S 0.9957 | buf 200000 | 30805s
ep 13500 | dynL 0.217 polR 2.902e-01 | train C 1.51e-04 S 0.974 | EVAL C 2.616e-05 S 0.9959 | buf 200000 | 31394s
ep 13750 | dynL 0.215 polR 4.272e-01 | train C 1.25e-04 S 0.981 | EVAL C 2.664e-05 S 0.9951 | buf 200000 | 31983s
ep 14000 | dynL 0.215 polR 4.233e-01 | train C 7.93e-05 S 0.984 | EVAL C 2.334e-05 S 0.9963 | buf 200000 | 32604s
ep 14250 | dynL 0.215 polR 4.585e-01 | train C 6.22e-05 S 0.988 | EVAL C 2.309e-05 S 0.9961 | buf 200000 | 33209s
ep 14500 | dynL 0.214 polR 4.910e-01 | train C 9.21e-05 S 0.983 | EVAL C 2.438e-05 S 0.9964 | buf 200000 | 33817s
ep 14750 | dynL 0.214 polR 4.791e-01 | train C 8.26e-05 S 0.983 | EVAL C 1.992e-05 S 0.9967 | buf 200000 | 34421s
ep 15000 | dynL 0.212 polR 4.543e-01 | train C 6.18e-05 S 0.988 | EVAL C 2.644e-05 S 0.9963 | buf 200000 | 35039s
ep 15250 | dynL 0.212 polR 5.027e-01 | train C 4.71e-05 S 0.995 | EVAL C 2.949e-05 S 0.9963 | buf 200000 | 35646s
ep 15500 | dynL 0.213 polR 5.061e-01 | train C 5.73e-05 S 0.991 | EVAL C 2.372e-05 S 0.9964 | buf 200000 | 36247s
ep 15750 | dynL 0.213 polR 4.225e-01 | train C 1.12e-04 S 0.988 | EVAL C 2.448e-05 S 0.9965 | buf 200000 | 36868s
ep 16000 | dynL 0.212 polR 4.845e-01 | train C 1.10e-04 S 0.988 | EVAL C 2.679e-05 S 0.9964 | buf 200000 | 37478s
ep 16250 | dynL 0.212 polR 5.274e-01 | train C 1.24e-04 S 0.976 | EVAL C 2.767e-05 S 0.9964 | buf 200000 | 38095s
ep 16500 | dynL 0.211 polR 5.086e-01 | train C 9.07e-05 S 0.988 | EVAL C 2.522e-05 S 0.9964 | buf 200000 | 38694s
ep 16750 | dynL 0.212 polR 5.820e-01 | train C 5.07e-05 S 0.989 | EVAL C 2.215e-05 S 0.9968 | buf 200000 | 39302s
ep 17000 | dynL 0.207 polR 4.830e-01 | train C 6.02e-05 S 0.988 | EVAL C 2.389e-05 S 0.9967 | buf 200000 | 39928s
ep 17250 | dynL 0.208 polR 5.357e-01 | train C 5.53e-05 S 0.992 | EVAL C 2.369e-05 S 0.9969 | buf 200000 | 40544s
ep 17500 | dynL 0.208 polR 6.005e-01 | train C 4.78e-05 S 0.993 | EVAL C 2.241e-05 S 0.9963 | buf 200000 | 41156s
ep 17750 | dynL 0.208 polR 4.926e-01 | train C 5.02e-05 S 0.987 | EVAL C 2.121e-05 S 0.9969 | buf 200000 | 41745s
ep 18000 | dynL 0.206 polR 6.240e-01 | train C 4.96e-05 S 0.995 | EVAL C 2.044e-05 S 0.9969 | buf 200000 | 42357s
ep 18250 | dynL 0.207 polR 5.710e-01 | train C 6.61e-05 S 0.990 | EVAL C 2.523e-05 S 0.9968 | buf 200000 | 42944s
ep 18500 | dynL 0.205 polR 5.711e-01 | train C 8.43e-05 S 0.991 | EVAL C 1.844e-05 S 0.9970 | buf 200000 | 43555s
ep 18750 | dynL 0.204 polR 5.394e-01 | train C 8.61e-05 S 0.977 | EVAL C 2.469e-05 S 0.9965 | buf 200000 | 44174s
ep 19000 | dynL 0.202 polR 6.694e-01 | train C 1.43e-04 S 0.979 | EVAL C 1.690e-05 S 0.9973 | buf 200000 | 44765s
ep 19250 | dynL 0.203 polR 5.883e-01 | train C 6.32e-05 S 0.991 | EVAL C 2.102e-05 S 0.9972 | buf 200000 | 45364s
