[po4ncpa] per-mode action scale: min 2.52e-09 max 4.65e-08 (headroom 5.0, 55 modes)
[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=False
[po4ncpa] ideal-image residual ref: max=1.000e+00 sum=1.107e+01
ep 10250 | dynL 0.334 polR -1.237e+00 | train C 3.04e-03 S 0.988 | EVAL C 2.921e-03 S 0.9967 | buf 200000 | 16087s
ep 10500 | dynL 0.331 polR -8.770e-01 | train C 2.97e-03 S 0.992 | EVAL C 2.918e-03 S 0.9971 | buf 200000 | 16490s
ep 10750 | dynL 0.327 polR -1.112e+00 | train C 2.96e-03 S 0.993 | EVAL C 2.917e-03 S 0.9968 | buf 200000 | 16879s
ep 11000 | dynL 0.325 polR -8.864e-01 | train C 2.99e-03 S 0.991 | EVAL C 2.916e-03 S 0.9972 | buf 200000 | 17287s
ep 11250 | dynL 0.320 polR -8.961e-01 | train C 2.98e-03 S 0.990 | EVAL C 2.916e-03 S 0.9974 | buf 200000 | 17683s
ep 11500 | dynL 0.319 polR -1.066e+00 | train C 3.01e-03 S 0.983 | EVAL C 2.915e-03 S 0.9973 | buf 200000 | 18096s
ep 11750 | dynL 0.315 polR -8.684e-01 | train C 3.00e-03 S 0.984 | EVAL C 2.912e-03 S 0.9978 | buf 200000 | 18493s
ep 12000 | dynL 0.310 polR -7.611e-01 | train C 3.00e-03 S 0.991 | EVAL C 2.911e-03 S 0.9977 | buf 200000 | 18882s
ep 12250 | dynL 0.308 polR -8.337e-01 | train C 3.14e-03 S 0.985 | EVAL C 2.912e-03 S 0.9977 | buf 200000 | 19277s
ep 12500 | dynL 0.302 polR -7.430e-01 | train C 3.03e-03 S 0.983 | EVAL C 2.913e-03 S 0.9979 | buf 200000 | 19681s
ep 12750 | dynL 0.299 polR -6.863e-01 | train C 2.99e-03 S 0.989 | EVAL C 2.914e-03 S 0.9977 | buf 200000 | 20081s
ep 13000 | dynL 0.299 polR -6.574e-01 | train C 2.96e-03 S 0.988 | EVAL C 2.911e-03 S 0.9979 | buf 200000 | 20474s
ep 13250 | dynL 0.291 polR -7.206e-01 | train C 2.94e-03 S 0.985 | EVAL C 2.909e-03 S 0.9979 | buf 200000 | 20883s
ep 13500 | dynL 0.288 polR -8.464e-01 | train C 2.95e-03 S 0.993 | EVAL C 2.909e-03 S 0.9980 | buf 200000 | 21301s
ep 13750 | dynL 0.282 polR -6.346e-01 | train C 2.97e-03 S 0.986 | EVAL C 2.908e-03 S 0.9979 | buf 200000 | 21690s
ep 14000 | dynL 0.283 polR -6.294e-01 | train C 2.99e-03 S 0.987 | EVAL C 2.908e-03 S 0.9982 | buf 200000 | 22109s
