name, memory.total [MiB]
NVIDIA A100-PCIE-40GB, 40960 MiB
=== PO4NCPA LOG-REWARD FROM SCRATCH (static): episodes=120000 ===
[infogain] correction scale min 2.52e-09 max 4.65e-08 | probe scale (x0.1) min 2.52e-10 max 4.65e-09 | modes=55 action=110
[infogain] device=cuda image=33x33 modes=55 action=110 workers=14 max_steps=8 lambda_info=0.0 reward=log lr_final_frac=0.3 explore_std_final=0.02
ep  9072 | dynL 0.396 polR -1.966e-01 info 3.314e-02 | train C 9.51e-05 S 0.979 | EVAL C 1.287e-04 S 0.9845 | buf 72576 | 4020s
ep  9324 | dynL 0.397 polR -1.344e-01 info 2.330e-02 | train C 1.69e-04 S 0.985 | EVAL C 1.170e-04 S 0.9859 | buf 74592 | 4157s
ep  9576 | dynL 0.395 polR -1.515e-01 info 3.055e-02 | train C 9.01e-05 S 0.987 | EVAL C 1.082e-04 S 0.9856 | buf 76608 | 4294s
ep  9828 | dynL 0.393 polR -1.366e-01 info 2.476e-02 | train C 1.09e-04 S 0.983 | EVAL C 1.018e-04 S 0.9868 | buf 78624 | 4431s
[infogain] saved replay buffer (80080 transitions) -> logs/po4ncpa_probe_logscratch/replay_buffer.npz (1.9s)
ep 10080 | dynL 0.395 polR -1.060e-01 info 3.529e-02 | train C 1.82e-04 S 0.966 | EVAL C 9.868e-05 S 0.9882 | buf 80640 | 4570s
ep 10332 | dynL 0.396 polR -1.609e-01 info 4.589e-02 | train C 1.56e-04 S 0.976 | EVAL C 9.319e-05 S 0.9889 | buf 82656 | 4706s
ep 10584 | dynL 0.394 polR -1.076e-01 info 3.411e-02 | train C 1.53e-04 S 0.976 | EVAL C 8.693e-05 S 0.9893 | buf 84672 | 4843s
ep 10836 | dynL 0.394 polR -4.011e-02 info 3.464e-02 | train C 8.23e-05 S 0.989 | EVAL C 8.413e-05 S 0.9895 | buf 86688 | 4980s
ep 11088 | dynL 0.391 polR -8.509e-02 info 4.595e-02 | train C 1.57e-04 S 0.989 | EVAL C 8.132e-05 S 0.9906 | buf 88704 | 5117s
ep 11340 | dynL 0.392 polR -1.533e-02 info 4.780e-02 | train C 1.21e-04 S 0.982 | EVAL C 7.558e-05 S 0.9917 | buf 90720 | 5254s
ep 11592 | dynL 0.392 polR -1.074e-02 info 2.911e-02 | train C 7.50e-05 S 0.988 | EVAL C 6.670e-05 S 0.9926 | buf 92736 | 5391s
ep 11844 | dynL 0.390 polR -6.883e-02 info 6.328e-02 | train C 1.03e-04 S 0.986 | EVAL C 6.282e-05 S 0.9933 | buf 94752 | 5529s
ep 12096 | dynL 0.390 polR -3.440e-03 info 3.974e-02 | train C 1.05e-04 S 0.980 | EVAL C 5.783e-05 S 0.9930 | buf 96768 | 5665s
ep 12348 | dynL 0.391 polR 3.203e-02 info 5.376e-02 | train C 1.89e-04 S 0.979 | EVAL C 5.199e-05 S 0.9939 | buf 98784 | 5802s
ep 12600 | dynL 0.387 polR 4.529e-02 info 5.470e-02 | train C 1.25e-04 S 0.980 | EVAL C 4.616e-05 S 0.9948 | buf 100800 | 5939s
ep 12852 | dynL 0.388 polR 1.583e-03 info 4.810e-02 | train C 3.76e-05 S 0.996 | EVAL C 4.343e-05 S 0.9953 | buf 102816 | 6075s
ep 13104 | dynL 0.389 polR 7.501e-02 info 4.762e-02 | train C 1.04e-04 S 0.989 | EVAL C 4.272e-05 S 0.9954 | buf 104832 | 6212s
ep 13356 | dynL 0.387 polR 9.088e-02 info 6.216e-02 | train C 7.75e-05 S 0.984 | EVAL C 3.941e-05 S 0.9956 | buf 106848 | 6348s
ep 13608 | dynL 0.387 polR 1.748e-01 info 3.429e-02 | train C 8.63e-05 S 0.991 | EVAL C 3.429e-05 S 0.9960 | buf 108864 | 6484s
