rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/clip_fraction,train/std,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
2559.70238194,1.0,168,1,2048,12,,,,,,,,,,,,,
2508.34453046,1.0,363,2,4096,11,4359677.0,-3.612041473388672e-05,8534348.7640625,0.011610145,0.087939453125,0.9877868294715881,0.0003,0.2,-0.055202027226914654,-35.29571751356125,10,,
,,,,5000,,4346603.5,0.0,9548425.9703125,0.011515606,0.08720703125,0.9771770238876343,0.0003,0.2,-0.0542911011230899,-35.00854463577271,20,2.8,70442.82343960002
3134.9815479400004,1.0,565,3,6144,10,,,,,,,,,,,,,
3024.9901958,1.0,766,4,8192,10,5445395.0,0.0,10440508.0015625,0.012760579,0.10068359375,0.966633141040802,0.0003,0.2,-0.05883365911140572,-34.73121548891068,30,,
,,,,10000,,5660114.0,-1.1920928955078125e-07,11299749.265625,0.0121314395,0.097802734375,0.9567744135856628,0.0003,0.2,-0.05538624708424322,-34.46404384374618,40,1.0,7300.0780256
3002.97574662,1.0,960,5,10240,10,,,,,,,,,,,,,
3128.811119549999,1.0,1151,6,12288,10,6183137.0,0.0,12511044.5796875,0.0115912305,0.09599609375,0.946790874004364,0.0003,0.2,-0.05606717095652129,-34.191218531131746,50,,
3284.40394844,1.0,1346,7,14336,10,6112237.0,0.0,12321871.0359375,0.01184504,0.097607421875,0.9383264183998108,0.0003,0.2,-0.055799079325515775,-33.94172577857971,60,,
,,,,15000,,6902818.0,1.1920928955078125e-07,15343383.29375,0.011705864,0.103466796875,0.9301702380180359,0.0003,0.2,-0.052832060554646884,-33.70899908542633,70,1.0,11472.1797432
3694.503393289999,1.0,1542,8,16384,10,,,,,,,,,,,,,
3656.7182398699997,1.0,1733,9,18432,10,6335164.0,0.0,15875843.025,0.013410905,0.122216796875,0.922068178653717,0.0003,0.2,-0.05958724183728918,-33.47740635871887,80,,
,,,,20000,,7349347.0,2.384185791015625e-07,16640598.928125,0.01388387,0.1275390625,0.9142653942108154,0.0003,0.2,-0.05876302323595155,-33.24854632616043,90,1.0,23199.2881202
3520.32033337,1.0,1917,10,20480,10,,,,,,,,,,,,,
3765.9508312300004,1.0,2102,11,22528,10,7480691.0,0.0,16140478.7875,0.014748526,0.1509765625,0.9067353010177612,0.0003,0.2,-0.06427386091672815,-33.02638070583343,100,,
4164.05408403,1.0,2288,12,24576,10,6458817.0,0.0,17472225.80625,0.01534901,0.145849609375,0.8993498086929321,0.0003,0.2,-0.060237171477638185,-32.80341958999634,110,,
,,,,25000,,10844738.0,-1.1920928955078125e-07,18590866.240625,0.016200699,0.161376953125,0.8925769329071045,0.0003,0.2,-0.06072677882038988,-32.59149085283279,120,1.0,15875.881657599999
3924.245390820001,1.0,2481,13,26624,10,,,,,,,,,,,,,
4305.88726851,1.0,2668,14,28672,10,7728687.0,5.960464477539063e-08,21976538.925,0.016566219,0.16826171875,0.885934054851532,0.0003,0.2,-0.06033357830310706,-32.38349752426147,130,,
,,,,30000,,13411688.0,5.960464477539063e-08,21482988.478125,0.016775025,0.167724609375,0.8793591260910034,0.0003,0.2,-0.06252401153324172,-32.1793283700943,140,1.0,13624.5768916
4479.3432989600005,1.0,2854,15,30720,10,,,,,,,,,,,,,
4523.312719109999,1.0,3055,16,32768,10,12940186.0,0.0,22621918.484375,0.018572204,0.172119140625,0.8730854392051697,0.0003,0.2,-0.06159731663065031,-31.979064410924913,150,,
4186.12783545,1.0,3247,17,34816,10,16288152.0,0.0,26023471.075,0.017452922,0.18330078125,0.8676403760910034,0.0003,0.2,-0.05967077189707197,-31.79237042069435,160,,
,,,,35000,,10117160.0,-1.1920928955078125e-07,24647019.5125,0.01805592,0.181640625,0.8615996837615967,0.0003,0.2,-0.06044969682698138,-31.60739003419876,170,1.0,18674.878939
